ID,Date,Primary.Type,Description,Location.Description,Arrest,Domestic,Latitude,Longitude
29,28-11-2023,NARCOTICS,DOMESTIC BATTERY SIMPLE,STREET,FALSE,FALSE,41.82714436,-87.81407218
30,23-05-2023,NARCOTICS,DOMESTIC BATTERY SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,41.93606508,-87.71531877
31,01-02-2023,ASSAULT,POSS: CANNABIS 30GMS OR LESS,RESTAURANT,TRUE,TRUE,41.80782045,-87.55081017
32,19-04-2023,BATTERY,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,41.87128216,-87.90813918
33,20-09-2023,THEFT,SIMPLE,ALLEY,FALSE,TRUE,41.97742301,-87.75902108
34,26-11-2023,MOTOR VEHICLE THEFT,UNLAWFUL ENTRY,RESIDENCE,TRUE,TRUE,41.84163694,-87.84992808
35,23-01-2023,THEFT,POSS: CANNABIS 30GMS OR LESS,STREET,FALSE,TRUE,41.76963885,-87.52988904
36,05-11-2023,NARCOTICS,OVER $500,APARTMENT,FALSE,TRUE,41.86764611,-87.91568122
37,15-05-2023,MOTOR VEHICLE THEFT,AGGRAVATED,ALLEY,FALSE,TRUE,41.82821347,-87.84632666
38,05-11-2023,ROBBERY,OVER $500,PARKING LOT,TRUE,FALSE,41.7873014,-87.60329598
39,12-08-2023,ASSAULT,OVER $500,STREET,TRUE,FALSE,41.93778378,-87.72753203
40,15-06-2023,BATTERY,OVER $500,SIDEWALK,TRUE,FALSE,41.93867943,-87.88560511
41,05-08-2023,BURGLARY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,41.87805872,-87.90613818
42,17-10-2023,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,FALSE,41.77935821,-87.59916157
43,10-03-2023,BURGLARY,ARMED: HANDGUN,STREET,TRUE,FALSE,41.95081647,-87.62983273
44,13-03-2023,MOTOR VEHICLE THEFT,ARMED: HANDGUN,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,41.73464981,-87.69743861
45,17-03-2023,THEFT,SIMPLE,RESTAURANT,FALSE,FALSE,41.8129994,-87.68497924
46,04-03-2023,CRIMINAL DAMAGE,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,41.93040219,-87.77241135
47,21-05-2023,THEFT,POSS: CANNABIS 30GMS OR LESS,RESTAURANT,FALSE,TRUE,41.7957658,-87.67470868
48,29-07-2023,CRIMINAL DAMAGE,UNLAWFUL ENTRY,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,41.71837887,-87.63931178
49,19-12-2023,BURGLARY,POSS: CANNABIS 30GMS OR LESS,APARTMENT,FALSE,TRUE,41.77993286,-87.59315026
50,13-12-2023,ROBBERY,AGGRAVATED,SIDEWALK,FALSE,FALSE,42.02127561,-87.68062136
51,02-06-2023,BURGLARY,AUTOMOBILE,APARTMENT,TRUE,TRUE,41.95902293,-87.82494688
52,21-10-2023,ROBBERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,FALSE,41.69275973,-87.92179909
53,04-10-2023,BURGLARY,ARMED: HANDGUN,APARTMENT,TRUE,TRUE,41.76916083,-87.59066547
54,10-02-2023,MOTOR VEHICLE THEFT,AGGRAVATED,RESTAURANT,TRUE,FALSE,41.67514781,-87.83999
55,31-03-2023,MOTOR VEHICLE THEFT,ARMED: HANDGUN,PARKING LOT,TRUE,FALSE,41.84504257,-87.60291872
56,12-11-2023,BATTERY,OVER $500,STREET,FALSE,FALSE,41.8965912,-87.7076611
57,11-08-2023,ROBBERY,AUTOMOBILE,STREET,TRUE,TRUE,41.69521276,-87.89935694
58,16-01-2023,THEFT,AUTOMOBILE,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,41.7421306,-87.74125839
59,26-04-2023,THEFT,AUTOMOBILE,SIDEWALK,TRUE,FALSE,41.82756325,-87.91011072
60,04-04-2023,ROBBERY,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE,FALSE,41.88466207,-87.82316322
61,19-09-2023,NARCOTICS,ARMED: HANDGUN,ALLEY,TRUE,FALSE,41.84932043,-87.64454171
62,23-08-2023,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,TRUE,41.91752756,-87.72840898
63,27-03-2023,THEFT,SIMPLE,PARKING LOT,FALSE,FALSE,41.81703042,-87.82198122
64,08-12-2023,BURGLARY,AGGRAVATED,ALLEY,FALSE,FALSE,41.79626405,-87.80985367
65,08-02-2023,THEFT,ARMED: HANDGUN,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,41.88234212,-87.69752226
66,08-06-2023,BATTERY,AGGRAVATED,ALLEY,TRUE,FALSE,41.97839623,-87.72552213
67,28-08-2023,MOTOR VEHICLE THEFT,AGGRAVATED,RESIDENCE,TRUE,FALSE,41.81716938,-87.82673721
68,28-07-2023,ROBBERY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,41.84576522,-87.76433911
69,02-11-2023,BATTERY,UNLAWFUL ENTRY,PARKING LOT,TRUE,TRUE,41.8230955,-87.67661822
70,03-02-2023,ROBBERY,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,41.94007251,-87.58782978
71,04-01-2023,ROBBERY,ARMED: HANDGUN,APARTMENT,FALSE,TRUE,41.95984112,-87.77599546
72,13-01-2023,BURGLARY,AUTOMOBILE,ALLEY,FALSE,FALSE,41.8572977,-87.7689138
73,10-03-2023,NARCOTICS,OVER $500,RESTAURANT,FALSE,TRUE,41.68826812,-87.76814029
74,31-08-2023,NARCOTICS,AGGRAVATED,APARTMENT,TRUE,FALSE,42.01881845,-87.72225311
75,04-11-2023,BATTERY,AUTOMOBILE,SIDEWALK,FALSE,TRUE,41.89365048,-87.59344578
76,05-10-2023,ASSAULT,UNLAWFUL ENTRY,PARKING LOT,FALSE,TRUE,41.68233172,-87.64472148
77,30-03-2023,BURGLARY,OVER $500,STREET,FALSE,FALSE,41.90372007,-87.66532055
78,25-01-2023,THEFT,AGGRAVATED,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,41.65871702,-87.58593911
79,18-10-2023,BATTERY,AUTOMOBILE,SIDEWALK,FALSE,TRUE,41.89053193,-87.54678997
80,13-10-2023,BURGLARY,OVER $500,APARTMENT,TRUE,FALSE,41.82223662,-87.57566299
81,08-06-2023,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,FALSE,FALSE,41.9232312,-87.88802397
82,01-05-2023,BURGLARY,ARMED: HANDGUN,PARKING LOT,TRUE,TRUE,41.85032497,-87.8246527
83,20-04-2023,THEFT,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,41.71229046,-87.59807761
84,07-06-2023,BURGLARY,AUTOMOBILE,ALLEY,FALSE,TRUE,41.82050813,-87.74972353
85,05-03-2023,ROBBERY,ARMED: HANDGUN,SIDEWALK,TRUE,TRUE,41.75325696,-87.91801036
86,18-07-2023,BATTERY,OVER $500,STREET,FALSE,TRUE,41.70890127,-87.70864466
87,08-03-2023,CRIMINAL DAMAGE,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,FALSE,FALSE,41.78889219,-87.78663096
88,31-05-2023,BURGLARY,ARMED: HANDGUN,ALLEY,TRUE,FALSE,41.94597316,-87.86492794
89,01-12-2023,NARCOTICS,AUTOMOBILE,APARTMENT,TRUE,TRUE,41.99821507,-87.59754733
90,26-03-2023,MOTOR VEHICLE THEFT,DOMESTIC BATTERY SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,41.84757571,-87.6733294
91,14-06-2023,ROBBERY,ARMED: HANDGUN,STREET,TRUE,TRUE,41.74841245,-87.63659014
92,16-05-2023,BURGLARY,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,FALSE,FALSE,41.70663246,-87.66585668
93,20-02-2023,CRIMINAL DAMAGE,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,41.67119254,-87.86092236
94,15-03-2023,THEFT,AGGRAVATED,RESIDENCE,TRUE,TRUE,41.72801512,-87.57361256
95,27-06-2023,THEFT,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,TRUE,41.66259438,-87.89399186
96,28-12-2023,THEFT,ARMED: HANDGUN,ALLEY,FALSE,TRUE,41.89057232,-87.55258342
97,24-08-2023,THEFT,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE,TRUE,41.85905891,-87.72420555
98,08-04-2023,NARCOTICS,UNLAWFUL ENTRY,SIDEWALK,TRUE,FALSE,41.8653757,-87.67530253
99,26-11-2023,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,41.83436009,-87.79872406
100,02-08-2023,ASSAULT,ARMED: HANDGUN,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,41.74720267,-87.53468207
101,07-05-2023,BURGLARY,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,41.66264939,-87.7729903
102,31-07-2023,THEFT,AUTOMOBILE,PARKING LOT,TRUE,FALSE,41.68924318,-87.76662672
103,23-06-2023,BURGLARY,ARMED: HANDGUN,RESIDENCE,FALSE,FALSE,41.7501826,-87.93861673
104,30-09-2023,MOTOR VEHICLE THEFT,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,41.81843882,-87.59940328
105,29-10-2023,NARCOTICS,DOMESTIC BATTERY SIMPLE,ALLEY,FALSE,FALSE,41.95609171,-87.80213688
106,06-11-2023,THEFT,AGGRAVATED,RESTAURANT,TRUE,TRUE,42.01677093,-87.78966118
107,20-08-2023,THEFT,SIMPLE,STREET,TRUE,FALSE,41.76867534,-87.72391772
108,31-08-2023,CRIMINAL DAMAGE,OVER $500,"SCHOOL, PUBLIC, BUILDING",TRUE,TRUE,41.67703426,-87.87779696
109,16-12-2023,ROBBERY,AUTOMOBILE,APARTMENT,FALSE,FALSE,41.9688813,-87.5544091
110,01-12-2023,NARCOTICS,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,FALSE,41.69018963,-87.57187086
111,07-10-2023,BURGLARY,OVER $500,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,41.73363303,-87.55239206
112,23-04-2023,BATTERY,ARMED: HANDGUN,ALLEY,FALSE,TRUE,41.89494699,-87.84157092
113,17-04-2023,ASSAULT,UNLAWFUL ENTRY,ALLEY,FALSE,FALSE,41.94011271,-87.65853935
114,31-05-2023,THEFT,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,41.9011726,-87.74249624
115,03-06-2023,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,FALSE,41.94729426,-87.8137659
116,12-04-2023,ASSAULT,AGGRAVATED,RESTAURANT,TRUE,FALSE,41.95804705,-87.70758131
117,12-09-2023,ASSAULT,UNLAWFUL ENTRY,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,41.75504651,-87.83936583
118,09-06-2023,NARCOTICS,OVER $500,RESTAURANT,TRUE,FALSE,41.6962658,-87.72730538
119,04-06-2023,BURGLARY,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,41.72298856,-87.64279867
120,05-01-2023,THEFT,AUTOMOBILE,ALLEY,TRUE,FALSE,42.00938634,-87.77207304
121,22-11-2023,ROBBERY,UNLAWFUL ENTRY,APARTMENT,TRUE,FALSE,41.72341266,-87.52477862
122,29-09-2023,BATTERY,OVER $500,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,42.01308665,-87.71101548
123,07-10-2023,BATTERY,AGGRAVATED,APARTMENT,FALSE,TRUE,41.74765294,-87.84859377
124,15-10-2023,ROBBERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,41.87876282,-87.55339263
125,04-10-2023,BURGLARY,OVER $500,PARKING LOT,TRUE,TRUE,41.84363118,-87.77946581
126,24-02-2023,MOTOR VEHICLE THEFT,OVER $500,RESTAURANT,TRUE,TRUE,41.87312383,-87.6253128
127,27-11-2023,BURGLARY,POSS: CANNABIS 30GMS OR LESS,ALLEY,FALSE,FALSE,41.69847191,-87.82935096
128,26-08-2023,CRIMINAL DAMAGE,OVER $500,STREET,FALSE,FALSE,41.90227171,-87.58065708
129,09-09-2023,ROBBERY,OVER $500,SIDEWALK,FALSE,FALSE,41.92814547,-87.59186971
130,05-12-2023,THEFT,DOMESTIC BATTERY SIMPLE,ALLEY,FALSE,TRUE,41.70354477,-87.76366588
131,08-02-2023,THEFT,UNLAWFUL ENTRY,STREET,TRUE,TRUE,41.81136826,-87.61466114
132,06-11-2023,BURGLARY,AUTOMOBILE,RESTAURANT,TRUE,TRUE,41.74508838,-87.8720134
133,17-05-2023,ROBBERY,ARMED: HANDGUN,STREET,TRUE,FALSE,41.77593903,-87.57840799
134,14-08-2023,MOTOR VEHICLE THEFT,POSS: CANNABIS 30GMS OR LESS,APARTMENT,FALSE,FALSE,41.96603844,-87.74522615
135,17-02-2023,BURGLARY,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,TRUE,41.98514179,-87.55184937
136,18-03-2023,BURGLARY,ARMED: HANDGUN,RESIDENCE,FALSE,TRUE,41.89727105,-87.90551428
137,24-03-2023,ROBBERY,POSS: CANNABIS 30GMS OR LESS,PARKING LOT,FALSE,FALSE,41.72323341,-87.62565587
138,03-07-2023,CRIMINAL DAMAGE,SIMPLE,APARTMENT,FALSE,FALSE,41.64824407,-87.54923988
139,08-02-2023,BATTERY,ARMED: HANDGUN,ALLEY,TRUE,FALSE,41.8324023,-87.84537331
140,15-07-2023,CRIMINAL DAMAGE,AUTOMOBILE,ALLEY,TRUE,FALSE,41.82536606,-87.74964316
141,14-09-2023,NARCOTICS,SIMPLE,STREET,FALSE,TRUE,41.73304008,-87.73455894
142,17-06-2023,BURGLARY,ARMED: HANDGUN,APARTMENT,TRUE,FALSE,41.69324406,-87.75865925
143,13-10-2023,ASSAULT,SIMPLE,PARKING LOT,FALSE,TRUE,41.96700695,-87.86542996
144,04-04-2023,ROBBERY,ARMED: HANDGUN,APARTMENT,TRUE,TRUE,41.77976379,-87.62790673
145,29-09-2023,CRIMINAL DAMAGE,OVER $500,RESIDENCE,TRUE,TRUE,41.91381203,-87.79267096
146,10-12-2023,NARCOTICS,AGGRAVATED,RESIDENCE,FALSE,TRUE,41.72384597,-87.91230756
147,06-11-2023,ASSAULT,ARMED: HANDGUN,RESTAURANT,FALSE,FALSE,41.69686477,-87.87033441
148,20-01-2023,MOTOR VEHICLE THEFT,ARMED: HANDGUN,ALLEY,TRUE,TRUE,41.77153163,-87.74514927
149,26-12-2023,THEFT,DOMESTIC BATTERY SIMPLE,RESTAURANT,FALSE,FALSE,41.93029955,-87.93891598
150,14-07-2023,NARCOTICS,SIMPLE,PARKING LOT,TRUE,TRUE,41.76479079,-87.61898917
151,15-12-2023,NARCOTICS,DOMESTIC BATTERY SIMPLE,ALLEY,FALSE,TRUE,41.70458333,-87.88213654
152,13-06-2023,CRIMINAL DAMAGE,ARMED: HANDGUN,STREET,TRUE,FALSE,41.75327462,-87.8979141
153,21-02-2023,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT,TRUE,FALSE,41.66106188,-87.72637067
154,30-12-2023,MOTOR VEHICLE THEFT,ARMED: HANDGUN,APARTMENT,FALSE,FALSE,41.70656957,-87.75773053
155,22-01-2023,NARCOTICS,AGGRAVATED,PARKING LOT,FALSE,FALSE,41.92746315,-87.6835942
156,26-06-2023,ASSAULT,AUTOMOBILE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,41.94333338,-87.79257258
157,11-02-2023,NARCOTICS,UNLAWFUL ENTRY,SIDEWALK,FALSE,TRUE,41.66249514,-87.87994564
158,11-11-2023,CRIMINAL DAMAGE,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",TRUE,TRUE,41.77434449,-87.57195
159,25-03-2023,CRIMINAL DAMAGE,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,41.76485879,-87.71326191
160,11-01-2023,ROBBERY,UNLAWFUL ENTRY,SIDEWALK,TRUE,FALSE,42.00942348,-87.77065217
161,01-05-2023,ROBBERY,DOMESTIC BATTERY SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,41.95520551,-87.64971624
162,29-10-2023,CRIMINAL DAMAGE,UNLAWFUL ENTRY,STREET,FALSE,TRUE,41.67132961,-87.86305199
163,26-03-2023,BURGLARY,SIMPLE,PARKING LOT,TRUE,TRUE,41.84029092,-87.62567573
164,31-12-2023,BURGLARY,OVER $500,ALLEY,TRUE,FALSE,41.65570084,-87.58674556
165,13-07-2023,ROBBERY,AGGRAVATED,APARTMENT,TRUE,FALSE,41.90584153,-87.54451423
166,17-04-2023,ASSAULT,AUTOMOBILE,STREET,FALSE,FALSE,41.82598485,-87.86104936
167,18-03-2023,MOTOR VEHICLE THEFT,POSS: CANNABIS 30GMS OR LESS,PARKING LOT,FALSE,FALSE,41.95252461,-87.82472718
168,17-07-2023,BURGLARY,SIMPLE,RESIDENCE,TRUE,FALSE,41.77983107,-87.78913197
169,06-09-2023,BATTERY,OVER $500,APARTMENT,TRUE,TRUE,41.94584729,-87.66310475
170,19-07-2023,BATTERY,AGGRAVATED,RESTAURANT,FALSE,FALSE,41.74161535,-87.66580313
171,09-06-2023,MOTOR VEHICLE THEFT,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",TRUE,TRUE,41.96939992,-87.74022364
172,07-09-2023,BATTERY,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,TRUE,FALSE,41.98618554,-87.53109679
173,19-10-2023,BATTERY,SIMPLE,APARTMENT,FALSE,TRUE,41.68952986,-87.67607766
174,16-01-2023,NARCOTICS,OVER $500,PARKING LOT,FALSE,FALSE,41.78703032,-87.81928519
175,02-02-2023,THEFT,OVER $500,"SCHOOL, PUBLIC, BUILDING",TRUE,TRUE,41.84807662,-87.76236679
176,09-02-2023,BATTERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,41.80621839,-87.93956227
177,10-01-2023,MOTOR VEHICLE THEFT,AGGRAVATED,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,41.74156443,-87.88965707
178,19-07-2023,MOTOR VEHICLE THEFT,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,FALSE,41.78816777,-87.53526221
179,05-05-2023,NARCOTICS,SIMPLE,APARTMENT,TRUE,FALSE,41.95019481,-87.85228014
180,22-09-2023,BURGLARY,OVER $500,RESTAURANT,FALSE,TRUE,41.76135896,-87.65374648
181,20-09-2023,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,41.75397325,-87.90816754
182,05-07-2023,NARCOTICS,UNLAWFUL ENTRY,ALLEY,TRUE,FALSE,41.98057274,-87.60553933
183,02-03-2023,BURGLARY,OVER $500,ALLEY,FALSE,TRUE,41.75563905,-87.76921919
184,09-09-2023,CRIMINAL DAMAGE,SIMPLE,STREET,TRUE,TRUE,41.89645726,-87.71081763
185,01-06-2023,BATTERY,AGGRAVATED,PARKING LOT,TRUE,TRUE,41.69018739,-87.56758337
186,15-11-2023,CRIMINAL DAMAGE,OVER $500,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,41.83774717,-87.75364022
187,23-02-2023,BURGLARY,OVER $500,APARTMENT,FALSE,TRUE,41.675544,-87.70814207
188,26-01-2023,MOTOR VEHICLE THEFT,OVER $500,APARTMENT,TRUE,FALSE,41.68602126,-87.87726524
189,23-08-2023,THEFT,AUTOMOBILE,PARKING LOT,TRUE,FALSE,41.69797118,-87.61093014
190,16-10-2023,BURGLARY,AUTOMOBILE,RESTAURANT,FALSE,TRUE,41.82089357,-87.60102714
191,04-07-2023,ROBBERY,UNLAWFUL ENTRY,SIDEWALK,FALSE,FALSE,41.69911835,-87.90935743
192,10-09-2023,ROBBERY,SIMPLE,APARTMENT,TRUE,FALSE,41.90873385,-87.57827778
193,25-04-2023,NARCOTICS,SIMPLE,RESIDENCE,TRUE,FALSE,41.7985671,-87.61836326
194,10-01-2023,CRIMINAL DAMAGE,ARMED: HANDGUN,STREET,TRUE,FALSE,41.96687431,-87.916699
195,05-11-2023,BURGLARY,DOMESTIC BATTERY SIMPLE,PARKING LOT,TRUE,TRUE,41.7583016,-87.56671709
196,23-02-2023,THEFT,AGGRAVATED,STREET,TRUE,FALSE,41.82445338,-87.55363724
197,24-07-2023,BATTERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,41.97774606,-87.70360474
198,29-12-2023,MOTOR VEHICLE THEFT,OVER $500,PARKING LOT,FALSE,FALSE,41.91167222,-87.89124119
199,24-09-2023,CRIMINAL DAMAGE,SIMPLE,RESIDENCE,FALSE,FALSE,41.89139359,-87.91451519
200,25-01-2023,CRIMINAL DAMAGE,SIMPLE,STREET,TRUE,TRUE,41.77807862,-87.62966878
201,21-02-2023,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT,FALSE,TRUE,41.83775846,-87.88756885
202,09-10-2023,MOTOR VEHICLE THEFT,AUTOMOBILE,RESTAURANT,TRUE,TRUE,41.92236265,-87.67158497
203,03-08-2023,MOTOR VEHICLE THEFT,DOMESTIC BATTERY SIMPLE,RESTAURANT,TRUE,TRUE,41.91968098,-87.57135214
204,12-12-2023,ASSAULT,ARMED: HANDGUN,RESTAURANT,TRUE,TRUE,41.71964924,-87.91617721
205,09-06-2023,BURGLARY,UNLAWFUL ENTRY,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,41.74823902,-87.58564742
206,26-02-2023,ROBBERY,SIMPLE,ALLEY,FALSE,FALSE,42.02256044,-87.90281995
207,15-04-2023,THEFT,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,FALSE,TRUE,41.86623827,-87.77099106
208,23-12-2023,BURGLARY,DOMESTIC BATTERY SIMPLE,PARKING LOT,TRUE,FALSE,41.67797743,-87.75399312
209,06-10-2023,BURGLARY,POSS: CANNABIS 30GMS OR LESS,APARTMENT,TRUE,FALSE,41.80140871,-87.91902897
210,27-09-2023,MOTOR VEHICLE THEFT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,41.88227567,-87.67209304
211,14-05-2023,THEFT,AGGRAVATED,RESIDENCE,TRUE,TRUE,41.77033837,-87.71658554
212,13-12-2023,CRIMINAL DAMAGE,DOMESTIC BATTERY SIMPLE,STREET,FALSE,FALSE,41.85300003,-87.62548712
213,09-05-2023,ASSAULT,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,FALSE,41.88762145,-87.91904847
214,06-08-2023,MOTOR VEHICLE THEFT,UNLAWFUL ENTRY,PARKING LOT,FALSE,FALSE,41.72050557,-87.68307982
215,16-04-2023,ROBBERY,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,41.67872136,-87.88919703
216,05-07-2023,MOTOR VEHICLE THEFT,ARMED: HANDGUN,ALLEY,TRUE,TRUE,41.99488435,-87.5919912
217,03-12-2023,BURGLARY,ARMED: HANDGUN,RESTAURANT,TRUE,FALSE,41.84521585,-87.62352188
218,12-10-2023,CRIMINAL DAMAGE,SIMPLE,SIDEWALK,FALSE,FALSE,41.80505303,-87.69633284
219,26-01-2023,CRIMINAL DAMAGE,AGGRAVATED,PARKING LOT,TRUE,FALSE,41.80124764,-87.52650443
220,27-01-2023,THEFT,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,42.00031136,-87.75146809
221,07-01-2023,NARCOTICS,UNLAWFUL ENTRY,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,41.87864502,-87.66919095
222,02-09-2023,NARCOTICS,AUTOMOBILE,PARKING LOT,FALSE,TRUE,41.78821284,-87.74724691
223,03-06-2023,ROBBERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,FALSE,41.97226943,-87.59173347
224,10-02-2023,BURGLARY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,FALSE,41.94525017,-87.64299624
225,31-07-2023,MOTOR VEHICLE THEFT,OVER $500,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,41.92246704,-87.59044571
